,CellID,CitationIDs
0,2236999465.0,2293438236.0
0,2260676330.0,2239671628.0
0,2115936885.0,2293438236.0
1,2057614551.0,2293438236.0
3,2031260329.0,2293438236.0
4,2028334307.0,2293438236.0
0,2070096009.0,1833748238.0
1,1671954979.0,1833748238.0
2,2089922925.0,1833748238.0
3,2065048455.0,1833748238.0
4,1997673604.0,1833748238.0
