,CellID,CitationIDs
0,2051281301.0,2290063375.0
1,2051281301.0,2401932504.0
0,1805000749.0,2287838496.0
1,1805000749.0,2362504809.0
0,1922162333.0,2341491694.0
0,1975000721.0,2240050428.0
0,2058795563.0,137265868.0
0,2084077265.0,2297236314.0
1,2084077265.0,1793608145.0
2,2084077265.0,2020030755.0
3,2084077265.0,2091653176.0
4,2084077265.0,2335385181.0
5,2084077265.0,2138916234.0
6,2084077265.0,2041887419.0
7,2084077265.0,829488505.0
8,2084077265.0,1998809236.0
9,2084077265.0,2017581442.0
10,2084077265.0,2413767559.0
11,2084077265.0,137265868.0
12,2084077265.0,216869753.0
13,2084077265.0,2018572781.0
14,2084077265.0,1991079956.0
15,2084077265.0,2014579544.0
16,2084077265.0,2309907389.0
17,2084077265.0,2041325773.0
18,2084077265.0,2082887897.0
19,2084077265.0,2083444772.0
20,2084077265.0,2026790890.0
0,1976954012.0,2134820353.0
1,1976954012.0,2056479833.0
2,1976954012.0,2056984689.0
3,1976954012.0,2018566369.0
4,1976954012.0,137265868.0
5,1976954012.0,2339953822.0
6,1976954012.0,2168033199.0
7,1976954012.0,2046483636.0
8,1976954012.0,2057251687.0
9,1976954012.0,2007845729.0
10,1976954012.0,2033055823.0
11,1976954012.0,2172143926.0
12,1976954012.0,1981510991.0
13,1976954012.0,882470887.0
14,1976954012.0,2195295321.0
15,1976954012.0,9539608.0
16,1976954012.0,55577875.0
17,1976954012.0,173609394.0
18,1976954012.0,2313655003.0
19,1976954012.0,2018876335.0
20,1976954012.0,2328541066.0
21,1976954012.0,2021373693.0
22,1976954012.0,2106607929.0
0,2137492380.0,2023712178.0
1,2137492380.0,2171179423.0
2,2137492380.0,2056984689.0
3,2137492380.0,2056479833.0
4,2137492380.0,2032415548.0
5,2137492380.0,149395500.0
6,2137492380.0,2119765193.0
7,2137492380.0,2141577002.0
8,2137492380.0,1993647149.0
9,2137492380.0,137265868.0
10,2137492380.0,2144895855.0
11,2137492380.0,2332843721.0
12,2137492380.0,1995741291.0
13,2137492380.0,2052887931.0
14,2137492380.0,2166951996.0
15,2137492380.0,2339953822.0
16,2137492380.0,2090521629.0
17,2137492380.0,2046855216.0
18,2137492380.0,1976954012.0
19,2137492380.0,2061669768.0
20,2137492380.0,143439104.0
21,2137492380.0,882470887.0
22,2137492380.0,2068254013.0
0,2042447942.0,2343800522.0
1,2042447942.0,1988671598.0
2,2042447942.0,2346506662.0
3,2042447942.0,1597531704.0
0,1988119605.0,2300722971.0
1,1988119605.0,46937489.0
2,1988119605.0,1990918168.0
3,1988119605.0,2134757691.0
4,1988119605.0,180262788.0
5,1988119605.0,2313811708.0
