,CellID,CitationIDs
0,2155774362.0,1988305647.0
1,2155774362.0,2153807249.0
2,2155774362.0,2188376851.0
3,2155774362.0,1978487974.0
4,2155774362.0,2014557464.0
0,2012892151.0,2330098842.0
1,2012892151.0,2101422603.0
2,2012892151.0,1978807419.0
0,2027176379.0,1977993632.0
1,2027176379.0,1994829972.0
2,2027176379.0,2132481627.0
3,2027176379.0,2025888804.0
4,2027176379.0,2168173321.0
5,2027176379.0,2138769400.0
6,2027176379.0,2139006446.0
7,2027176379.0,2060907389.0
8,2027176379.0,1980192484.0
9,2027176379.0,1511124297.0
10,2027176379.0,374849235.0
11,2027176379.0,2155774362.0
12,2027176379.0,2067169054.0
13,2027176379.0,1969469994.0
14,2027176379.0,2078750409.0
15,2027176379.0,2115912666.0
16,2027176379.0,2031227404.0
17,2027176379.0,2061803710.0
18,2027176379.0,1649406885.0
19,2027176379.0,2125003940.0
20,2027176379.0,2071273910.0
21,2027176379.0,2018760174.0
22,2027176379.0,2014602132.0
0,1491338215.0,1971608239.0
0,1995760595.0,1996129247.0
1,1995760595.0,2024343724.0
2,1995760595.0,2080050362.0
3,1995760595.0,2041059539.0
0,2002635516.0,2076367639.0
1,2002635516.0,2072570971.0
2,2002635516.0,2042474268.0
3,2002635516.0,1970542240.0
4,2002635516.0,2133359552.0
5,2002635516.0,2005906693.0
6,2002635516.0,2019314525.0
7,2002635516.0,2324898440.0
0,2074282721.0,2085432920.0
0,1966586323.0,2032246560.0
1,1966586323.0,2036069964.0
2,1966586323.0,1560566254.0
3,1966586323.0,2046553495.0
4,1966586323.0,2071880732.0
5,1966586323.0,90955232.0
6,1966586323.0,1991571629.0
0,2041214868.0,1543106344.0
1,2041214868.0,2036196631.0
2,2041214868.0,1986880615.0
3,2041214868.0,2124283221.0
4,2041214868.0,2097776732.0
5,2041214868.0,1964564726.0
6,2041214868.0,2001275439.0
7,2041214868.0,2310269783.0
8,2041214868.0,1966956680.0
0,2390515349.0,1968695250.0
0,1983995791.0,2089957640.0
1,1983995791.0,2010316133.0
2,1983995791.0,2108609070.0
3,1983995791.0,1965680085.0
4,1983995791.0,2015670793.0
5,1983995791.0,2322572939.0
6,1983995791.0,2022579673.0
7,1983995791.0,1505759226.0
8,1983995791.0,2133063931.0
9,1983995791.0,2050052614.0
10,1983995791.0,2068297950.0
11,1983995791.0,2134607412.0
12,1983995791.0,2041995937.0
13,1983995791.0,2019683113.0
14,1983995791.0,2147439616.0
15,1983995791.0,2035736162.0
16,1983995791.0,1980072408.0
17,1983995791.0,2061259261.0
18,1983995791.0,2069691528.0
19,1983995791.0,2009999848.0
20,1983995791.0,2154818909.0
0,1969528612.0,2172920820.0
1,1969528612.0,2083804770.0
2,1969528612.0,2103308556.0
3,1969528612.0,2080160726.0
4,1969528612.0,2029294849.0
0,2015896570.0,100245716.0
1,2015896570.0,2143522070.0
2,2015896570.0,2335165032.0
3,2015896570.0,2046347241.0
4,2015896570.0,2273559886.0
0,2158542517.0,2044034545.0
1,2158542517.0,2012892151.0
2,2158542517.0,2330098842.0
0,2087247769.0,1974385074.0
0,1982677059.0,2165381764.0
1,1982677059.0,2142441346.0
2,1982677059.0,2019760397.0
3,1982677059.0,1995760595.0
4,1982677059.0,1976142699.0
5,1982677059.0,2094659172.0
6,1982677059.0,2101471615.0
7,1982677059.0,2015537615.0
8,1982677059.0,2053984037.0
0,2124283221.0,2001275439.0
1,2124283221.0,2184698906.0
2,2124283221.0,2067367945.0
0,2121325074.0,2046693483.0
1,2121325074.0,2153575401.0
2,2121325074.0,1963988247.0
3,2121325074.0,2077583890.0
0,2113576459.0,2076133874.0
0,1964564726.0,2310269783.0
1,1964564726.0,2079692514.0
2,1964564726.0,1974385074.0
0,1980072408.0,2009999848.0
1,1980072408.0,2019683113.0
2,1980072408.0,2147439616.0
3,1980072408.0,2069691528.0
4,1980072408.0,2050052614.0
5,1980072408.0,2024184462.0
6,1980072408.0,2010316133.0
7,1980072408.0,1965680085.0
8,1980072408.0,1976550039.0
9,1980072408.0,2068297950.0
10,1980072408.0,1983995791.0
11,1980072408.0,2015670793.0
12,1980072408.0,1505759226.0
13,1980072408.0,2133063931.0
14,1980072408.0,2154818909.0
0,2144381511.0,2077583890.0
1,2144381511.0,2140306139.0
2,2144381511.0,2024301740.0
0,1966318693.0,1561101348.0
1,1966318693.0,1272275309.0
2,1966318693.0,1968334644.0
3,1966318693.0,2148646862.0
4,1966318693.0,2089631192.0
5,1966318693.0,2092293049.0
6,1966318693.0,2042146551.0
7,1966318693.0,2081943325.0
8,1966318693.0,2147735503.0
9,1966318693.0,1974477427.0
10,1966318693.0,2398122973.0
11,1966318693.0,2132370132.0
12,1966318693.0,2001074883.0
13,1966318693.0,2025760446.0
0,2095291222.0,768810035.0
1,2095291222.0,2044034545.0
2,2095291222.0,2148246699.0
3,2095291222.0,2324898440.0
4,2095291222.0,1978807419.0
5,2095291222.0,2330098842.0
6,2095291222.0,1593409459.0
0,2066429621.0,2329734515.0
1,2066429621.0,2062288124.0
2,2066429621.0,2121969863.0
3,2066429621.0,2328418613.0
4,2066429621.0,1994730529.0
5,2066429621.0,2104663237.0
6,2066429621.0,2089890205.0
7,2066429621.0,2038340718.0
8,2066429621.0,2041881902.0
9,2066429621.0,1168851590.0
10,2066429621.0,2077248260.0
11,2066429621.0,2044179890.0
12,2066429621.0,1977523898.0
13,2066429621.0,2306202773.0
14,2066429621.0,2077211949.0
15,2066429621.0,2337337735.0
16,2066429621.0,253104304.0
17,2066429621.0,1976859626.0
18,2066429621.0,1977771690.0
19,2066429621.0,1999434771.0
20,2066429621.0,1971894570.0
21,2066429621.0,2081647478.0
22,2066429621.0,2121450683.0
0,2165116177.0,2183918206.0
0,2039674602.0,86794860.0
1,2039674602.0,2120412436.0
2,2039674602.0,2146483077.0
3,2039674602.0,1991571629.0
4,2039674602.0,1970542240.0
5,2039674602.0,2081928579.0
6,2039674602.0,1560566254.0
0,1670472822.0,1990469912.0
0,2070949655.0,2115513944.0
1,2070949655.0,2155774362.0
2,2070949655.0,2038532578.0
3,2070949655.0,2057615876.0
4,2070949655.0,2046928163.0
5,2070949655.0,2014015565.0
6,2070949655.0,2333815158.0
7,2070949655.0,2097179108.0
8,2070949655.0,2023677958.0
9,2070949655.0,2081938104.0
10,2070949655.0,2014557464.0
11,2070949655.0,1969289320.0
12,2070949655.0,1986323570.0
13,2070949655.0,2003275525.0
14,2070949655.0,1964746713.0
15,2070949655.0,2059302957.0
16,2070949655.0,2068674559.0
17,2070949655.0,2207370625.0
18,2070949655.0,154356564.0
19,2070949655.0,1994628840.0
20,2070949655.0,2007717873.0
21,2070949655.0,2078861874.0
0,2055243969.0,2154668407.0
1,2055243969.0,2162563878.0
2,2055243969.0,1991299222.0
3,2055243969.0,2046558847.0
4,2055243969.0,2172920820.0
5,2055243969.0,2108770073.0
6,2055243969.0,1995954259.0
7,2055243969.0,12075830.0
8,2055243969.0,2070658367.0
9,2055243969.0,2042662840.0
10,2055243969.0,1968451222.0
11,2055243969.0,2036251339.0
12,2055243969.0,2170132300.0
13,2055243969.0,2136247474.0
14,2055243969.0,2080160726.0
15,2055243969.0,1990282289.0
16,2055243969.0,1970372554.0
17,2055243969.0,2026386931.0
18,2055243969.0,2149602985.0
19,2055243969.0,2077479424.0
20,2055243969.0,2109859532.0
21,2055243969.0,1684922874.0
22,2055243969.0,2117452358.0
23,2055243969.0,2171277071.0
24,2055243969.0,101325552.0
25,2055243969.0,319544678.0
26,2055243969.0,2061088930.0
27,2055243969.0,2148246699.0
0,2235220242.0,2063298064.0
1,2235220242.0,2239786367.0
2,2235220242.0,2127040570.0
3,2235220242.0,2042498617.0
4,2235220242.0,2264036383.0
5,2235220242.0,2035736162.0
6,2235220242.0,125659846.0
7,2235220242.0,2043446551.0
8,2235220242.0,614956731.0
9,2235220242.0,2157179417.0
10,2235220242.0,597427201.0
11,2235220242.0,2093448027.0
0,1996129247.0,2024343724.0
0,2005710502.0,2071265153.0
1,2005710502.0,2161649955.0
2,2005710502.0,1999039793.0
3,2005710502.0,2042878822.0
0,2034549666.0,2027314429.0
1,2034549666.0,2085703703.0
2,2034549666.0,1978579846.0
3,2034549666.0,2071826278.0
4,2034549666.0,1975901994.0
5,2034549666.0,1998215681.0
6,2034549666.0,2015140463.0
7,2034549666.0,2086045123.0
8,2034549666.0,2084406365.0
9,2034549666.0,1125648993.0
10,2034549666.0,2059636423.0
11,2034549666.0,2057189378.0
0,2124182591.0,2071265153.0
0,1543106344.0,2001275439.0
1,1543106344.0,2184698906.0
2,1543106344.0,2124283221.0
0,2061165350.0,1973550489.0
0,1987591218.0,2091144969.0
1,1987591218.0,2014557464.0
2,1987591218.0,2113640774.0
3,1987591218.0,2021876283.0
0,1556522781.0,2020847560.0
0,2099738282.0,2083804770.0
1,2099738282.0,2051653513.0
2,2099738282.0,2092012768.0
3,2099738282.0,2000611026.0
4,2099738282.0,2152786126.0
5,2099738282.0,2115568919.0
6,2099738282.0,2037131598.0
7,2099738282.0,2019161504.0
8,2099738282.0,2172920820.0
9,2099738282.0,2077537104.0
10,2099738282.0,2029294849.0
11,2099738282.0,2046576569.0
12,2099738282.0,2072570971.0
13,2099738282.0,2329858062.0
14,2099738282.0,2024172472.0
15,2099738282.0,2149602985.0
16,2099738282.0,22170100.0
17,2099738282.0,1671187441.0
0,2053984037.0,2155774362.0
1,1521266712.0,2155774362.0
2,2001395747.0,2155774362.0
3,2004377750.0,2155774362.0
4,2062024276.0,2155774362.0
5,1988112161.0,2155774362.0
6,1969768727.0,2155774362.0
7,2483574.0,2155774362.0
8,1994120627.0,2155774362.0
9,2055093977.0,2155774362.0
11,2170596799.0,2155774362.0
12,2171124691.0,2155774362.0
13,1504463291.0,2155774362.0
14,2081938104.0,2155774362.0
15,2065513785.0,2155774362.0
17,2139006446.0,2155774362.0
18,2038178980.0,2155774362.0
19,2044422749.0,2155774362.0
20,2026430433.0,2155774362.0
21,2115513944.0,2155774362.0
22,2158074073.0,2155774362.0
23,2059302957.0,2155774362.0
24,2039047486.0,2155774362.0
25,2017901736.0,2155774362.0
26,2167711295.0,2155774362.0
0,2056823618.0,2012892151.0
1,2129796157.0,2012892151.0
2,2132320458.0,2012892151.0
3,2086733028.0,2012892151.0
4,1990770727.0,2012892151.0
5,2009820294.0,2012892151.0
6,2015321973.0,2012892151.0
7,2156950287.0,2012892151.0
8,2057636570.0,2012892151.0
9,2103528653.0,2012892151.0
10,1669618825.0,2012892151.0
11,2007727307.0,2012892151.0
12,2099091184.0,2012892151.0
13,2042878822.0,2012892151.0
14,2163128785.0,2012892151.0
15,2031615558.0,2012892151.0
16,2052950923.0,2012892151.0
18,2008951212.0,2012892151.0
19,2319261279.0,2012892151.0
20,2083951745.0,2012892151.0
21,2102380305.0,2012892151.0
22,1997773058.0,2012892151.0
23,2021387040.0,2012892151.0
0,2166162863.0,2027176379.0
1,1602259421.0,2027176379.0
0,2152820192.0,2126965847.0
0,1503281746.0,1995760595.0
1,2026405844.0,1995760595.0
2,2015264146.0,1995760595.0
3,2054078223.0,1995760595.0
4,1977394255.0,1995760595.0
5,1986323570.0,1995760595.0
6,573708672.0,1995760595.0
7,2094659172.0,1995760595.0
8,1529502973.0,1995760595.0
9,2101471615.0,1995760595.0
10,2056639783.0,1995760595.0
11,2066530560.0,1995760595.0
12,1975681476.0,1995760595.0
0,1977522909.0,2002635516.0
1,2061460626.0,2002635516.0
2,2010838650.0,2002635516.0
3,2086347662.0,2002635516.0
4,2160300085.0,2002635516.0
5,2059854672.0,2002635516.0
6,2134614794.0,2002635516.0
7,2072802791.0,2002635516.0
8,1636486787.0,2002635516.0
9,2134954438.0,2002635516.0
10,2139829580.0,2002635516.0
11,2117740402.0,2002635516.0
0,2043284119.0,2074282721.0
1,2075017652.0,2074282721.0
2,1558640266.0,2074282721.0
3,2171369888.0,2074282721.0
4,1976270715.0,2074282721.0
5,1565787067.0,2074282721.0
6,566269467.0,2074282721.0
7,2029129848.0,2074282721.0
8,2038279337.0,2074282721.0
9,2087797799.0,2074282721.0
0,2040827780.0,1966586323.0
1,2150498963.0,1966586323.0
2,2102048957.0,1966586323.0
0,1976319509.0,2041214868.0
1,2022026288.0,2041214868.0
2,2120649913.0,2041214868.0
3,2079473131.0,2041214868.0
4,1996365192.0,2041214868.0
5,2023375744.0,2041214868.0
6,2073339628.0,2041214868.0
7,2028654136.0,2041214868.0
8,1524518091.0,2041214868.0
9,2132587525.0,2041214868.0
0,2069090152.0,1983995791.0
1,2091700420.0,1983995791.0
2,2252995875.0,1983995791.0
3,1995215938.0,1983995791.0
4,2164408514.0,1983995791.0
5,2121438729.0,1983995791.0
6,1592379386.0,1983995791.0
7,1517115540.0,1983995791.0
