,CellID,CitationIDs
0,2138216235.0,2139817136.0
1,2138216235.0,2316018826.0
2,2138216235.0,2289870814.0
3,2138216235.0,2288071152.0
4,2138216235.0,2187107901.0
5,2138216235.0,2237310599.0
6,2138216235.0,2274259703.0
7,2138216235.0,2344340917.0
8,2138216235.0,2076973067.0
0,1995230762.0,55577875.0
1,1995230762.0,173609394.0
2,1995230762.0,2005184359.0
3,1995230762.0,2036728366.0
4,1995230762.0,2052436494.0
5,1995230762.0,2092446506.0
6,1995230762.0,948379902.0
7,1995230762.0,2260642538.0
8,1995230762.0,88442665.0
9,1995230762.0,1567047552.0
10,1995230762.0,2144355780.0
11,1995230762.0,2115980626.0
12,1995230762.0,2055097074.0
13,1995230762.0,2156263565.0
14,1995230762.0,2329354067.0
15,1995230762.0,2076845879.0
16,1995230762.0,2151731588.0
17,1995230762.0,2315486926.0
18,1995230762.0,1976901097.0
19,1995230762.0,2048102975.0
20,1995230762.0,2316745173.0
21,1995230762.0,3863604.0
22,1995230762.0,2062564017.0
23,1995230762.0,2086010173.0
24,1995230762.0,2019844547.0
25,1995230762.0,1172081511.0
26,1995230762.0,2081412897.0
27,1995230762.0,1973132609.0
28,1995230762.0,68445468.0
29,1995230762.0,2062706663.0
30,1995230762.0,20054740.0
31,1995230762.0,2001798103.0
32,1995230762.0,2047886959.0
33,1995230762.0,2048436244.0
34,1995230762.0,2150865887.0
35,1995230762.0,1980547794.0
36,1995230762.0,207332780.0
37,1995230762.0,2166951996.0
38,1995230762.0,2333575891.0
39,1995230762.0,2024331155.0
40,1995230762.0,1631900655.0
41,1995230762.0,2027808269.0
42,1995230762.0,2068956830.0
0,2115753308.0,1560866318.0
1,2115753308.0,2266676516.0
2,2115753308.0,2082351885.0
3,2115753308.0,2040860336.0
4,2115753308.0,335451840.0
5,2115753308.0,2099428618.0
6,2115753308.0,1972052208.0
7,2115753308.0,2055850890.0
8,2115753308.0,2107653480.0
9,2115753308.0,2131140460.0
10,2115753308.0,2002081441.0
11,2115753308.0,2035459875.0
12,2115753308.0,2048458992.0
13,2115753308.0,2319118483.0
14,2115753308.0,2081352102.0
15,2115753308.0,2140496990.0
16,2115753308.0,2101594894.0
17,2115753308.0,2317029251.0
18,2115753308.0,2322341085.0
19,2115753308.0,2133847614.0
20,2115753308.0,2169067385.0
21,2115753308.0,2020140926.0
22,2115753308.0,1973132609.0
23,2115753308.0,2030665827.0
24,2115753308.0,2338199172.0
25,2115753308.0,2125681779.0
26,2115753308.0,2052119565.0
27,2115753308.0,2087140522.0
28,2115753308.0,2164517539.0
29,2115753308.0,2094594949.0
30,2115753308.0,2332247990.0
31,2115753308.0,2027114673.0
32,2115753308.0,2216933496.0
33,2115753308.0,2138634002.0
34,2115753308.0,2112176480.0
35,2115753308.0,2165370485.0
36,2115753308.0,2147191716.0
37,2115753308.0,106360283.0
38,2115753308.0,2125510914.0
39,2115753308.0,2119010371.0
40,2115753308.0,1985330526.0
41,2115753308.0,2067925380.0
42,2115753308.0,2213530383.0
43,2115753308.0,2081372795.0
44,2115753308.0,1987370717.0
45,2115753308.0,2126418126.0
46,2115753308.0,2263679720.0
47,2115753308.0,2052902460.0
48,2115753308.0,2138446075.0
49,2115753308.0,2071129033.0
50,2115753308.0,2022794125.0
